dt,LandAverageTemperature
1900-01,8.5
1900-02,9.2
1900-03,10.1
1900-04,11.3
1900-05,13.2
1900-06,15.1
1900-07,16.8
1900-08,16.2
1900-09,14.1
1900-10,11.8
1900-11,9.5
1900-12,8.1
1901-01,8.7
1901-02,9.0
1901-03,ciao
1901-04,11.5
1901-05,13.4
1901-06,15.3
1901-07,17.0
1901-08,16.4
1901-09,14.3
1901-10,12.0
1901-11,9.7
1901-12,8.3
1902-01,8.9
1902-02,-2.3
1902-03,10.5
1902-04,11.7
1902-05,13.6
1902-06,15.5
1902-07,17.2
1902-08,16.6
1902-09,14.5
1902-10,12.2
1902-11,9.9
1902-12,8.5
1903-01,9.1
1903-02,9.8
1903-03,10.7
1903-04,11.9
1903-05,13.8
1903-06,15.7
1903-07,17.4
1903-08,16.8
1903-09,14.7
1903-10,12.4
1903-11,10.1
1903-12,8.7
1904-01,9.3
1904-02,10.0
1904-03,10.9
1904-04,12.1
1904-05,14.0
1904-06,15.9
1904-07,17.6
1904-08,17.0
1904-09,14.9
1904-10,12.6
1904-11,10.3
1904-12,8.9
